ElementID,Volume,Area,Length,Height,Thickness/Width,Total_Surface_Area,Total_Edge_Length,Base_offset,Top_offset,Number_of_Faces,Bounding_Box_Width,Bounding_Box_Height,Bounding_Box_Depth,Centroid_X,Centroid_Y,Centroid_Z,Orientation_Angle,Curvature,source,is_rare_class,SECClasS_Code_Ss_1,SECClasS_Code_Ss_1_encode,Category_Curtain Panels,Category_Doors,Category_Floors,Category_Roofs,Category_Stairs,Category_Structural Columns,Category_Structural Foundations,Category_Structural Framing,Category_Walls,Category_Windows,load_bearing_status_binary
1JmbhSzUv09e7_l4Ho14Tc,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
0v7uso1wnBRgeZ7vQoImJb,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
0v7uso1wnBRgeZ7vQoIncz,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
0tMZOrdMX4dvIlwcfTOXpy,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
3cx1kevfP1Cul5uiynpihe,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
20llYcX7b0SwuqryMZJIbM,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
20llYcX7b0SwuqryMZJIZq,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
0v7uso1wnBRgeZ7vQoImmN,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
1ZsNK2fsPCQhhaLJQTNrno,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
1ZsNK2fsPCQhhaLJQTNryN,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
