ElementID,Volume,Area,Length,Height,Thickness/Width,Base_offset,Top_offset,Number_of_Faces,Bounding_Box_Width,Bounding_Box_Height,Bounding_Box_Depth,Centroid_X,Centroid_Y,Centroid_Z,Orientation_Angle,Curvature,source,is_rare_class,SECClasS_Code_Ss_1,SECClasS_Code_Ss_1_encode,Category_Curtain Panels,Category_Doors,Category_Floors,Category_Roofs,Category_Stairs,Category_Structural Columns,Category_Structural Foundations,Category_Structural Framing,Category_Walls,Category_Windows,load_bearing_status_binary
1309869,8.85,35.39,3.61,10.81,0.25,-1.73,0.0,10.0,3.61,10.21,0.25,1104.01,277.96,84.38,0.0,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1319897,10.79,43.18,3.3,14.48,0.25,-0.35,2.0,9.0,3.5,14.48,0.25,1051.11,295.22,86.83,0.0,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1356429,8.05,32.19,10.57,3.35,0.25,-0.35,0.0,8.0,10.57,3.35,0.25,1054.83,281.74,82.23,0.0,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1388265,1.7,7.31,10.53,1.0,0.25,0.0,1.0,19.0,10.53,1.0,0.25,1054.69,281.7,84.51,0.0,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1405191,6.96,34.82,10.81,3.74,0.2,-1.73,-0.99,12.0,10.81,3.74,0.2,1096.8,281.45,81.05,0.0,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1405311,0.99,4.94,0.74,5.26,0.2,-0.35,2.01,8.0,0.2,5.26,0.97,1102.31,281.84,80.32,1.57,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1421508,2.25,9.01,10.46,0.87,0.25,2.15,0.0,6.0,10.46,0.87,0.25,1110.95,282.19,86.59,0.0,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1424051,2.5,10.01,10.21,0.87,0.25,2.13,0.0,6.0,10.21,1.19,0.25,1110.82,282.19,83.31,0.0,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1424963,1.56,6.25,10.51,0.6,0.25,2.46,0.0,6.0,10.51,0.6,0.25,1110.97,282.19,89.79,0.0,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1438763,1.61,8.05,6.9,1.2,0.2,-0.2,-2.0,9.0,6.9,1.2,0.2,1119.53,282.17,81.42,0.0,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
